Advanced Calibration Data
,Temperature,date,m,b,Thermistor,A,B,C,KOhm,min,max
,,,1,0,4,0.0014035971835255623,0.00023726772633381188,9.962900548998732e-8,3,-20,60
,Pressure,date,m2,m1,m0,b2,b1,b0,LinearA,LinearB
,,24-Aug-2020 09:27:45,4.67599988951406e-7,0.00003301670221844688,1.010563850402832,0.00015278111095540226,-0.007007943466305733,-0.0350460559129715,-0.000008718800017959438,1.0026094913482666

Field Calibration Data
,Temperature,date,Slope,Offset,Unit
,,,1,0,0
,Pressure,date,Slope,Offset,Unit
,,,1,0,0

Sensor/File information
Sensor SN,0012202845,,Modbus Addr.,2
Sensor Type,LevelSCOUT,,Initialized w/fw Rev,v2.4
Sensor Name,Seametrics Smart Sensor
File Name,Test File #4

# Records,1441
Statistical Data,,Temperature (°C),Pressure (psi)
,Sensor Range,,300 psia
,Minimum,17.70,14.543
,Maximum,24.01,19.560
,Mean,19.45,16.432
,Variance,2.468,5.3631
,Std Deviation,1.571,2.3158

Rec #,Date / Time,Temperature (°C),Pressure (psi)
116,05-May-2021 11:10:00,17.83,19.529
117,05-May-2021 11:11:00,17.83,19.529
118,05-May-2021 11:12:00,17.82,19.539
119,05-May-2021 11:13:00,17.82,19.529
120,05-May-2021 11:14:00,17.81,19.529
121,05-May-2021 11:15:00,17.81,19.529
122,05-May-2021 11:16:00,17.81,19.529
123,05-May-2021 11:17:00,17.81,19.539
124,05-May-2021 11:18:00,17.79,19.529
125,05-May-2021 11:19:00,17.77,19.529
126,05-May-2021 11:20:00,17.76,19.539
127,05-May-2021 11:21:00,17.77,19.529
128,05-May-2021 11:22:00,17.76,19.539
129,05-May-2021 11:23:00,17.76,19.529
130,05-May-2021 11:24:00,17.76,19.539
131,05-May-2021 11:25:00,17.76,19.529
132,05-May-2021 11:26:00,17.77,19.529
133,05-May-2021 11:27:00,17.78,19.529
134,05-May-2021 11:28:00,17.80,19.529
135,05-May-2021 11:29:00,17.80,19.539
136,05-May-2021 11:30:00,17.80,19.539
137,05-May-2021 11:31:00,17.80,19.529
138,05-May-2021 11:32:00,17.80,19.539
139,05-May-2021 11:33:00,17.79,19.539
140,05-May-2021 11:34:00,17.78,19.539
141,05-May-2021 11:35:00,17.78,19.539
142,05-May-2021 11:36:00,17.78,19.529
143,05-May-2021 11:37:00,17.78,19.529
144,05-May-2021 11:38:00,17.78,19.539
145,05-May-2021 11:39:00,17.78,19.529
146,05-May-2021 11:40:00,17.78,19.539
147,05-May-2021 11:41:00,17.78,19.529
148,05-May-2021 11:42:00,17.79,19.539
149,05-May-2021 11:43:00,17.81,19.539
150,05-May-2021 11:44:00,17.81,19.539
151,05-May-2021 11:45:00,17.82,19.529
152,05-May-2021 11:46:00,17.82,19.539
153,05-May-2021 11:47:00,17.81,19.539
154,05-May-2021 11:48:00,17.81,19.539
155,05-May-2021 11:49:00,17.81,19.539
156,05-May-2021 11:50:00,17.81,19.539
157,05-May-2021 11:51:00,17.80,19.539
158,05-May-2021 11:52:00,17.79,19.539
159,05-May-2021 11:53:00,17.79,19.539
160,05-May-2021 11:54:00,17.79,19.539
161,05-May-2021 11:55:00,17.78,19.529
162,05-May-2021 11:56:00,17.77,19.539
163,05-May-2021 11:57:00,17.77,19.549
164,05-May-2021 11:58:00,17.78,19.539
165,05-May-2021 11:59:00,17.79,19.539
166,05-May-2021 12:00:00,17.79,19.539
167,05-May-2021 12:01:00,17.80,19.539
168,05-May-2021 12:02:00,17.79,19.539
169,05-May-2021 12:03:00,17.79,19.539
170,05-May-2021 12:04:00,17.79,19.539
171,05-May-2021 12:05:00,17.79,19.539
172,05-May-2021 12:06:00,17.79,19.539
